Sim_No.,1:V__TIMP.bsn,2:V__SFTMP.bsn,3:V__SMTMP.bsn,4:V__SMFMN.bsn,5:V__SMFMX.bsn,6:V__SNOCOVMX.bsn,7:V__SURLAG.bsn,8:V__ADJ_PKR.bsn,9:V__EVRCH.bsn,10:V__TRNSRCH.bsn,11:V__GW_DELAY.gw,12:V__GWQMN.gw,13:V__ALPHA_BF.gw,14:V__REVAPMN.gw,15:V__GW_REVAP.gw,16:V__RCHRG_DP.gw,17:V__GW_SPYLD.gw,18:V__LAT_TTIME.hru,19:V__OV_N.hru,20:V__SLSUBBSN.hru,21:R__HRU_SLP.hru,22:V__SLSOIL.hru,23:V__ESCO.hru,24:V__CH_N2.rte,25:V__CH_K2.rte,26:V__ALPHA_BNK.rte,27:R__CH_WDR.rte,28:R__CH_D.rte,29:R__CH_W2.rte,30:R__CH_L2.rte,31:R__CH_S2.rte,32:V__SOL_K(..).sol,33:V__SOL_BD(..).sol,34:V__ELEVB(..).sub,35:R__CH_L1.sub,36:R__CH_S1.sub,37:R__CH_W1.sub,38:V__CH_N1.sub,39:V__CH_K1.sub,40:V__PLAPS.sub,41:V__CN2.mgt,42:V__RAINHHMX(..).wgn,43:V__RAINHHMX(..).wgn,44:V__RAINHHMX(..).wgn,45:V__RAINHHMX(..).wgn,46:V__RAINHHMX(..).wgn,47:V__RAINHHMX(..).wgn,48:V__RAINHHMX(..).wgn,49:V__RAINHHMX(..).wgn,50:V__RAINHHMX(..).wgn,51:V__RAINHHMX(..).wgn,52:V__RAINHHMX(..).wgn,53:V__RAINHHMX(..).wgn,54:V__BIOMIX.mgt,NSE,bR2,D
21,0.5468,0.59375,0.47375,0.67425,0.90925,0.77575,0.272751566,0.596733333,0.3208,0.3713,0.02825,0.27475,0.2333,0.03425,0.776111111,0.1632,0.71325,0.10475,0.521750584,0.83625,0.57224,0.11725,0.1737,0.761612903,0.791249975,0.7483,0.354749499,0.667254509,0.827254509,0.829759519,0.512244489,0.19075,0.64725,0.87925,0.18176,0.44976,0.42776,0.182750917,0.68925,0.29275,0.826249206,0.7092504,0.5247504,0.7732504,0.9482504,0.7387504,0.8637504,0.3607504,0.6012504,0.7762504,0.0997504,0.4717504,0.6282504,0.6348,0.584832,0.472518397,0.821959906
22,0.3092,0.65625,0.69275,0.34125,0.47475,0.19675,0.450751566,0.521733333,0.4502,0.4392,0.41525,0.89325,0.1963,0.39975,0.301666667,0.7567,0.36225,0.37375,0.72624875,0.32325,0.61926,0.12725,0.8522,0.453870968,0.325750085,0.1918,0.851743487,0.335250501,0.409759519,0.992745491,0.396753507,0.46475,0.36425,0.80925,0.97776,0.28776,0.42026,0.830250083,0.65425,0.63975,0.443749206,0.4752504,0.7952504,0.2242504,0.5342504,0.1942504,0.9977504,0.8362504,0.6742504,0.3302504,0.5817504,0.2842504,0.2772504,0.6097,0.01504,0.092928805,0.375876427
23,0.2362,0.35875,0.89625,0.91175,0.75975,0.27975,0.578751566,0.374733333,0.4242,0.7897,0.96375,0.46825,0.4467,0.85225,0.762222222,0.5587,0.23625,0.59425,0.54624875,0.96425,0.86774,0.73125,0.6808,0.398387097,0.246250075,0.4433,0.210741483,0.980240481,0.465751503,0.173747495,0.813747495,0.70825,0.04925,0.19175,0.11724,0.35276,0.61676,0.74375125,0.75275,0.06575,0.271249206,0.1747504,0.1617504,0.3537504,0.7702504,0.9862504,0.8217504,0.8037504,0.2472504,0.5807504,0.4957504,0.2672504,0.1882504,0.0358,-0.439526,0.003273448,0.369080233
24,0.7558,0.05475,0.39675,0.57875,0.90975,0.42375,0.698751566,0.265266667,0.8552,0.6472,0.92175,0.76175,0.1318,0.44125,0.671666667,0.1922,0.74975,0.57125,0.86624875,0.37925,0.26224,0.37425,0.1857,0.735806452,0.406250075,0.9523,0.583747495,0.219258517,0.747254509,0.614248497,0.817755511,0.82575,0.63525,0.34075,0.88426,0.07874,0.46576,0.773251084,0.48425,0.79525,0.276250794,0.9437504,0.2532504,0.7897504,0.8462504,0.1137504,0.4397504,0.2127504,0.1212504,0.7492504,0.0337504,0.3977504,0.7157504,0.2898,-0.368082,0.01559221,0.371321704
25,0.1013,0.47625,0.70825,0.68925,0.76975,0.01925,0.640250522,0.910733333,0.1092,0.9457,0.71325,0.08425,0.0342,0.84375,0.134444444,0.1388,0.05525,0.27825,0.918749583,0.05525,0.55476,0.68725,0.3183,0.049354839,0.411249975,0.8422,0.160741483,0.990741483,0.082244489,0.239258517,0.548256513,0.11325,0.56475,0.68875,0.27324,0.91076,0.56876,0.64924975,0.57375,0.40925,0.410249206,0.5337504,0.5047504,0.4442504,0.8712504,0.2597504,0.8092504,0.8727504,0.0957504,0.9207504,0.5962504,0.1487504,0.5002504,0.9688,-0.460921,0.00047176,0.368870589
26,0.9992,0.89025,0.63225,0.74525,0.61825,0.64075,0.006751566,0.420266667,0.4892,0.2173,0.35625,0.34875,0.8723,0.05975,0.243333333,0.4038,0.58975,0.24525,0.661750584,0.23975,0.00824,0.67525,0.7673,0.067096774,0.172249955,0.7563,0.228757515,0.120240481,0.111743487,0.908757515,0.292745491,0.19525,0.49675,0.35175,0.14024,0.45526,0.76974,0.201250417,0.93725,0.47625,0.561750794,0.1717504,0.7117504,0.0127504,0.0442504,0.8712504,0.5077504,0.3527504,0.1537504,0.8112504,0.1337504,0.2957504,0.4562504,0.7283,0.025934,0.24881275,0.651003381
27,0.9308,0.74775,0.60625,0.05925,0.63875,0.38175,0.620250522,0.898266667,0.7978,0.9553,0.18475,0.62925,0.2553,0.88825,0.847222222,0.2697,0.61225,0.71975,0.390250083,0.28675,0.29026,0.89375,0.9383,0.626774194,0.468250035,0.9887,0.808256513,0.385250501,0.984248497,0.235250501,0.729258517,0.03375,0.56575,0.07325,0.02326,0.53374,0.53474,0.73225075,0.41775,0.11425,0.999250794,0.3107504,0.6017504,0.0272504,0.1202504,0.3637504,0.4467504,0.2757504,0.7267504,0.5177504,0.7377504,0.4232504,0.6717504,0.3823,-0.45999,0.00091925,0.369078212
28,0.2118,0.27675,0.23075,0.02625,0.17475,0.06225,0.200751566,0.435733333,0.1162,0.9388,0.24725,0.28525,0.9703,0.85275,0.682777778,0.1367,0.07825,0.74325,0.153251084,0.99525,0.10824,0.37975,0.8508,0.081290323,0.804249915,0.4837,0.966252505,0.815250501,0.799258517,0.624248497,0.311743487,0.56875,0.16125,0.52325,0.34374,0.94426,0.92576,0.69225075,0.80825,0.61725,0.724250794,0.3992504,0.9177504,0.4852504,0.0867504,0.9677504,0.5472504,0.1887504,0.8927504,0.9992504,0.8722504,0.1477504,0.6202504,0.0018,-0.462891,7.90E-05,0.368736643
29,0.2928,0.44275,0.42425,0.30975,0.74075,0.21975,0.048751566,0.850266667,0.8582,0.4997,0.00125,0.47675,0.2097,0.00425,0.612777778,0.6762,0.72425,0.80425,0.768749583,0.05725,0.91774,0.25225,0.9942,0.362258065,0.734749905,0.7333,0.108757515,0.330741483,0.874248497,0.651743487,0.694749499,0.39125,0.26075,0.51225,0.86926,0.56476,0.86824,0.964751584,0.89375,0.78825,0.862749206,0.2462504,0.1487504,0.1927504,0.2737504,0.8692504,0.2517504,0.7717504,0.0907504,0.9907504,0.4802504,0.5512504,0.1927504,0.1163,-0.057741,0.089644507,0.390310427
30,0.1427,0.55125,0.24775,0.06025,0.42275,0.74675,0.741248434,0.051266667,0.4348,0.5663,0.09225,0.47025,0.2677,0.54725,0.841666667,0.3598,0.74875,0.64825,0.483251084,0.85625,0.21326,0.47625,0.3002,0.772258065,0.273249935,0.5058,0.916252505,0.398256513,0.696753507,0.991743487,0.230240481,0.59175,0.44125,0.34875,0.70274,0.36226,0.75026,0.30774925,0.32625,0.97075,0.834749206,0.2042504,0.3292504,0.1577504,0.0887504,0.6972504,0.8047504,0.3797504,0.4317504,0.7127504,0.7732504,0.1772504,0.5717504,0.3433,-0.372182,0.027501566,0.37892948
