Sim_No.,1:V__TIMP.bsn,2:V__SFTMP.bsn,3:V__SMTMP.bsn,4:V__SMFMN.bsn,5:V__SMFMX.bsn,6:V__SNOCOVMX.bsn,7:V__SURLAG.bsn,8:V__ADJ_PKR.bsn,9:V__EVRCH.bsn,10:V__TRNSRCH.bsn,11:V__GW_DELAY.gw,12:V__GWQMN.gw,13:V__ALPHA_BF.gw,14:V__REVAPMN.gw,15:V__GW_REVAP.gw,16:V__RCHRG_DP.gw,17:V__GW_SPYLD.gw,18:V__LAT_TTIME.hru,19:V__OV_N.hru,20:V__SLSUBBSN.hru,21:R__HRU_SLP.hru,22:V__SLSOIL.hru,23:V__ESCO.hru,24:V__CH_N2.rte,25:V__CH_K2.rte,26:V__ALPHA_BNK.rte,27:R__CH_WDR.rte,28:R__CH_D.rte,29:R__CH_W2.rte,30:R__CH_L2.rte,31:R__CH_S2.rte,32:V__SOL_K(..).sol,33:V__SOL_BD(..).sol,34:V__ELEVB(..).sub,35:R__CH_L1.sub,36:R__CH_S1.sub,37:R__CH_W1.sub,38:V__CH_N1.sub,39:V__CH_K1.sub,40:V__PLAPS.sub,41:V__CN2.mgt,42:V__RAINHHMX(..).wgn,43:V__RAINHHMX(..).wgn,44:V__RAINHHMX(..).wgn,45:V__RAINHHMX(..).wgn,46:V__RAINHHMX(..).wgn,47:V__RAINHHMX(..).wgn,48:V__RAINHHMX(..).wgn,49:V__RAINHHMX(..).wgn,50:V__RAINHHMX(..).wgn,51:V__RAINHHMX(..).wgn,52:V__RAINHHMX(..).wgn,53:V__RAINHHMX(..).wgn,54:V__BIOMIX.mgt,NSE,bR?,D
1698,0.8727,0.23275,0.37075,0.33125,0.53425,0.78225,0.225749478,0.697733333,0.7512,0.0088,0.00075,0.09175,0.3938,0.82225,0.415555556,0.8643,0.04075,0.81325,0.618749583,0.35925,0.30224,0.36575,0.1632,0.551612903,0.903750125,0.4448,0.732244489,0.117254509,0.734749499,0.865250501,0.341242485,0.04175,0.50475,0.03775,0.82976,0.46626,0.00876,0.405748583,0.91725,0.71575,0.349250794,0.2507504,0.6257504,0.5682504,0.5082504,0.3747504,0.1162504,0.7357504,0.2187504,0.0267504,0.5112504,0.4497504,0.3897504,0.2262,-2.996851,0.041974413,0.465545398
1699,0.7623,0.97175,0.74875,0.01375,0.62325,0.94325,0.801248434,0.094733333,0.6698,0.5408,0.94675,0.81225,0.5943,0.42925,0.046666667,0.5767,0.74075,0.47225,0.75774925,0.03475,0.54974,0.74375,0.2107,0.963870968,0.418250035,0.0892,0.584248497,0.213246493,0.789759519,0.267755511,0.389258517,0.59125,0.30975,0.68775,0.75274,0.49424,0.62374,0.018749583,0.48675,0.96525,0.163749206,0.5067504,0.2762504,0.0972504,0.6382504,0.2527504,0.2052504,0.3512504,0.6262504,0.7847504,0.9857504,0.3362504,0.9127504,0.6888,-0.177339,0.032083987,0.356213155
1700,0.7908,0.97625,0.65075,0.96825,0.80775,0.01175,0.282250522,0.652266667,0.5662,0.9018,0.27875,0.88325,0.0768,0.84725,0.655,0.7807,0.00575,0.27375,0.521250417,0.08875,0.98274,0.16375,0.3122,0.743870968,0.466250075,0.4557,0.208757515,0.262244489,0.107755511,0.353246493,0.150240481,0.04275,0.08425,0.03225,0.08924,0.83874,0.97926,0.947249083,0.47975,0.93425,0.842250794,0.1922504,0.8287504,0.3687504,0.4802504,0.7017504,0.1502504,0.6617504,0.0372504,0.1837504,0.4012504,0.0347504,0.4792504,0.7477,-0.4581,0.001594183,0.369341906
1701,0.0233,0.07525,0.76525,0.64275,0.07425,0.41125,0.993749478,0.767733333,0.8262,0.9517,0.59925,0.09775,0.9457,0.44175,0.363333333,0.2657,0.37925,0.11725,0.14375125,0.15025,0.72674,0.12275,0.3067,0.247096774,0.354749905,0.3273,0.859258517,0.575751503,0.993747495,0.924248497,0.644248497,0.03825,0.47075,0.04375,0.61476,0.07726,0.83576,0.688749583,0.41075,0.72225,0.934249206,0.8917504,0.4372504,0.5337504,0.5582504,0.0407504,0.9592504,0.7372504,0.7487504,0.0767504,0.2132504,0.7017504,0.4127504,0.8842,-0.462778,0.000118116,0.368753606
1702,0.8163,0.03975,0.57075,0.73925,0.83325,0.41225,0.878751566,0.004266667,0.9798,0.2477,0.41425,0.70625,0.7128,0.18375,0.777777778,0.4622,0.38775,0.12925,0.907249083,0.11025,0.56376,0.50725,0.2198,0.605806452,0.658750025,0.8367,0.437755511,0.149759519,0.128256513,0.096753507,0.268757515,0.13475,0.43775,0.46375,0.76024,0.56124,0.05724,0.38924975,0.92725,0.86475,0.991749206,0.4542504,0.0937504,0.1377504,0.6082504,0.6607504,0.0462504,0.8297504,0.2537504,0.2957504,0.0932504,0.8867504,0.7952504,0.8737,-10.193554,0.16119312,0.524889803
1703,0.7663,0.12225,0.40525,0.62325,0.24075,0.41575,0.757248434,0.498733333,0.3058,0.7887,0.11325,0.37675,0.6488,0.44675,0.212222222,0.9442,0.87275,0.53475,0.605248416,0.99175,0.26676,0.67025,0.3063,0.728387097,0.056250075,0.9308,0.494749499,0.364248497,0.781743487,0.430741483,0.905250501,0.69475,0.99075,0.18175,0.41976,0.84774,0.01324,0.851750584,0.90525,0.21375,0.961749206,0.0107504,0.5552504,0.9627504,0.7592504,0.5947504,0.8732504,0.3967504,0.3522504,0.8757504,0.7237504,0.1352504,0.8887504,0.2677,-0.392467,0.021966799,0.37693723
1704,0.4283,0.27125,0.99675,0.85775,0.89425,0.96275,0.979248434,0.348733333,0.1822,0.2553,0.21275,0.30675,0.1708,0.85575,0.652777778,0.5042,0.61975,0.31525,0.37924975,0.02775,0.10474,0.01675,0.9097,0.331612903,0.981749965,0.7258,0.419258517,0.187254509,0.847755511,0.247755511,0.482244489,0.99725,0.48075,0.99075,0.86574,0.12826,0.13324,0.445248416,0.96475,0.21675,0.549749206,0.8357504,0.4327504,0.2477504,0.4862504,0.0617504,0.1647504,0.8007504,0.3942504,0.3577504,0.6537504,0.2192504,0.0427504,0.5447,0.31425,0.274967944,0.639438276
1705,0.9262,0.95275,0.10675,0.74675,0.72925,0.99425,0.825749478,0.613266667,0.3478,0.4338,0.99025,0.57675,0.0422,0.26375,0.466666667,0.8393,0.78725,0.23975,0.812750917,0.15375,0.72426,0.62875,0.7857,0.190322581,0.847250055,0.5403,0.580741483,0.595751503,0.486252505,0.010741483,0.990240481,0.50525,0.84925,0.65025,0.23474,0.25724,0.99924,0.918249416,0.97025,0.31225,0.582249206,0.3837504,0.5372504,0.7777504,0.8837504,0.2622504,0.5267504,0.5892504,0.3682504,0.1637504,0.3957504,0.0057504,0.2867504,0.6647,0.32774,0.277581521,0.6349474
1706,0.5332,0.92275,0.94925,0.62925,0.31625,0.61825,0.887248434,0.400266667,0.4102,0.4683,0.01075,0.75075,0.5393,0.39375,0.521666667,0.6603,0.14275,0.41275,0.858249416,0.57625,0.09426,0.48775,0.2528,0.952903226,0.409250015,0.5907,0.793747495,0.454749499,0.978256513,0.719258517,0.757254509,0.53925,0.52525,0.56375,0.30924,0.77174,0.86374,0.78774925,0.24775,0.91875,0.669750794,0.1392504,0.4422504,0.3662504,0.6932504,0.6812504,0.6092504,0.5247504,0.1517504,0.4152504,0.9567504,0.4217504,0.1637504,0.7607,0.142774,0.171450828,0.492852075
1707,0.5583,0.62875,0.77975,0.99625,0.42075,0.54125,0.316250522,0.985733333,0.3138,0.2858,0.69125,0.38925,0.2103,0.22275,0.392777778,0.6733,0.51575,0.56575,0.244251417,0.05925,0.70924,0.59875,0.1653,0.17516129,0.761249975,0.7613,0.699759519,0.026753507,0.458256513,0.655751503,0.467254509,0.71675,0.06875,0.50275,0.69324,0.30476,0.82674,0.834751584,0.53275,0.41975,0.252750794,0.3777504,0.8107504,0.2367504,0.4112504,0.5902504,0.2672504,0.0867504,0.8107504,0.1267504,0.1457504,0.0067504,0.1002504,0.4543,0.24851,0.274561509,0.629680045
